WellID;Well1;Well2;Well4;WellName;ProspectName;ProspectID_OD-intern;ProspectPriorityIfSeveral_in_well;ProgRes;PrognosisID;PrognosisPriority;Operator;EvaluationYear;DataCompileDate;StructuralElementProvince;FrontierArea;LicenseRound1;LicenseRound2;SeismicDatabase_2D_3D;ProdLicenseID1;ProdLicenseID2;WellType_firm_contingent;SpudDate;CompletionDate;WaterDepth;StratigraphicAgeAtTD;TrapType;NPDPlay;NewPlay;ReservoirChron;ReservoirLithos;Source1Chron;Source1Lithos;Source2Chron;Source2Lithos;SealChron;SealLithos;ProbTecReservoir;ProbTecSource;ProbTecTrap;ProbTecTotal;CommentsProb;MainPhase;FractileResourceMin;FractileResourceMean;FractileResourceMax;GasMainMin;GasMainMean;GasMainMax;OilAssocMean;OilMainMin;OilMainMean;OilMainMax;GasAssocMean;RecoverGasMainMin;RecoverGasMainMean;RecoverGasMainMax;RecoverOilAssocMean;RecoverOilMainMin;RecoverOilMainMean;RecoverOilMainMax;RecoverGasAssocMean;FractileReservoirMin;FractileReservoirMean;FractileReservoirMax;TopProspectDepthMin;TopProspectDepthMean;TopProspectDepthMax;TopReservoirDepthMin;TopReservoirDepthMean;TopReservoirDepthMax;PressureReservoir;TempReservoir;RockVolMin;RockVolMean;RockVolMax;AreaMin;AreaMean;AreaMax;ThicknessMin;ThicknessMean;ThicknessMax;HCColProspMin;HCColProspMean;HCColProspMax;HCColWellMin;HCColWellMean;HCColWellMax;NetGrossMin;NetGrossMean;NetGrossMax;PorosityMin;PorosityMean;PorosityMax;WaterSatMin;WaterSatMean;WaterSatMax;BgMin;BgMean;BgMax;BoInvMin;BoInvMean;BoInvMax;GORGasMin;GORGasMean;GORGasMax;GOROilMin;GOROilMean;GOROilMax;Discovery;SurpriseDiscovery;ShowsOil;ShowsGas;OKRes;OKResP;OKResQ;OKCh;OKChPres;OKChMat;OKCHMig;OKTr;OKTrCl;OKTrTS;OKTrLS;DryComment;Comments
1521;1;3;6;1/3-6;OSELVAR A Paleocene;517;2;Result;Result;0;ELF;1991;01.01.1997;ÅLEBASSENGET;No;6;;2D;65;1;;19910311;19910622;72;AALENIAN;1.1.1 Upthrown traps;NPC-2;NO;PALEOCENE;FORTIES FM;UPPER JURASSIC;MANDAL FM;UPPER JURASSIC;FARSUND FM;;;;;;;;GAS;;;;;2,8;;5,12;;0;;0;;;;;;;;;;;;;2690;;;2888;;;;;1,46;;;;;;85,5;;;488;;;85,5;;;0,33;;;0,2;;;0,55;;;0,0037;;;;;;1200;;;;;YES;NO;;;OK;;;OK;;;;OK;;;;Discovery, originally reported as reservoir failure, but changed to OK by NPD.;Primary Jurassic target was not reached due to technical problems. Paleocene was second target.
1521;1;3;6;1/3-6;OSELVAR A ULA;2932;1;Prognosis;Not reached;1;ELF;1991;01.01.1997;ÅLEBASSENGET;No;6;;2D;65;1;;19910311;19910622;72;AALENIAN;1.1.1 Upthrown traps;NJU-3;NO;UPPER JURASSIC;ULA FM;UPPER JURASSIC;MANDAL FM;UPPER JURASSIC;FARSUND FM;;;0,45;0,9;0,3;0,12;;GAS;;;;1,4;2,4;17,2;2,1;;0;;0;;;;;;;;;;;;;2700;;;2900;;;;1,2;1,3;1,5;;;;85;110;120;115;250;470;;115;;0,4;0,5;0,7;0,14;0,17;0,19;0,35;0,45;0,61;0,00358;0,00375;0,00395;;;;1000;1110;1220;;;;;;;;;;;;;;;;;;;;Jurassic target not reached due to techn.problems. Paleocene was second target.
2829;1;3;8;1/3-8;1/3-8;580;1;Prognosis;Prog;1;AMOCO;1996;;HIDRAHØGDA;No;1;A;;11;1;;19961212;19970527;70;TRIASSIC;;nju-3;NO;;;;;;;;;0,7;1;0,7;0,33;Inconsistent probability data (P tot: 0,490?);;;;;;;;;23,8;38,8;53,8;;;;;;;;;;;;;;;;;;;;;0,963;2,367;3,771;;;;;;;;;;;;;;0,35;;;0,15;;;0,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"Almost No data given. Progn. Targets: sst in Ula/Farsund fms, not encountered. Very finegrained sst (""basal sst"") at 5005-5058.5 m MDBRT, assumed to be U.Triassic-L.Jurassic."
2829;1;3;8;1/3-8;1/3-8;580;1;Result;Res;0;AMOCO;1996;;HIDRAHØGDA;No;1;A;;11;1;;19961212;19970527;70;TRIASSIC;;nju-3;NO;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0,55;;;0,15;;;0,9;;;;;;;;;;;;;;NO;;;;Fail;;;;;;;;;;;;"Almost No data given. Progn. Targets: sst in Ula/Farsund fms, not encountered. Very finegrained sst (""basal sst"") at 5005-5058.5 m MDBRT, assumed to be U.Triassic-L.Jurassic."
3257;1;5;3;1/5-3 S;Miocene-Surprise;2933;0;Prognosis;Prog-Surprise;;CONOCO;;;FEDEGRABENEN;No;12;;;144;1;;19980609;19980804;69;MIOCENE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Not prognosed, and not reported - therefore a few result data were compiled by NPD. The well was junked before reaching the target in Tor and Ekofisk Fms (nku-3). Surprise discovery in Miocene.
3257;1;5;3;1/5-3 S;Miocene-Surprise;2933;0;Result;Res-Surprise;0;CONOCO;;10.07.2004;FEDEGRABENEN;No;12;;;144;1;;19980609;19980804;69;MIOCENE;1.1.1 Upthrown traps;nmi-1;NO;MIOCENE;HORDALAND GP;;;;;;;;;;;;Oil;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;YES;YES;;;;;;;;;;;;;;Well junked before reaching target in Tor and Ekofisk Fms. Surprise discovery: Oil in Miocene.;Well junked before target in Tor&Ekofisk. (Good traces of oil observed in mud from 1498m. @1544m, a kick was taken resulting in oil being circulated up to the rig.) Outside NPD play. Surprise discov.
1508;1;6;5;1/6-5;1/6-D   A;498;1;Prognosis;Prog;1;CONOCO;1990;12.05.1997;FEDEGRABENEN;No;12;;2D;144;1;Yes;19900720;19900902;70;PERMIAN;2.1 Pinch out traps;nku-3;NO;UPPER CRETACEOUS;EKOFISK FM;UPPER JURASSIC;MANDAL FM;;;;;0,8;0,8;0,3;0,19;;OIL/GAS;;;;;0;;0;;21;;3;;;;;;;;;;;;;;;;1650;;;;;1,875;;;13,2;;;50;;;;;;510;;;0,75;;;0,28;;;0,22;;;;;;0,71;;;;;;142;;;;;;;;;;;;;;;;;;Only 'Most Likely' parameters available for this well
1508;1;6;5;1/6-5;1/6-D   A;498;1;Result;Res;0;CONOCO;1990;12.05.1997;FEDEGRABENEN;No;12;;2D;144;1;Yes;19900720;19900902;70;PERMIAN;1.2 Anticlinal traps;nku-3;NO;UPPER CRETACEOUS;EKOFISK FM;UPPER JURASSIC;MANDAL FM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1696;;;;;;;;;;;21;;;;;;;;;0;;;0,2;;;0,7;;;;;;;;;;;;;;NO;;YES;YES;OK;;;OK;;;;FAIL;;;;SEAL FAILURE WAS REGARDED AS THE MAIN PROBLEM;SEAL FAILURE WAS REGARDED AS THE MAIN PROBLEM FOR THIS PROSPECT
1839;1;6;6;1/6-6;1/6-E-JU   A;500;1;Prognosis;Prog;1;SHELL;1993;17.09.1996;FEDEGRABENEN;No;1;A;3D;11;1;;19920210;19930308;70;TRIASSIC;2 Stratigraphic traps;NJU-3;NO;MIDDLE-UPPER JURASSIC;BRYNE/LINDESNES FM;UPPER JURASSIC;MANDAL FM;;;;;0,9;0,49;0,95;0,42;;OIL;;;;;0;;0;2;14;65;12;;;;;;;;;;;;;4850;;;5130;;;;0;0,325;4,314;;10,2;;0;125;550;0;320;550;;40;;0,2;0,5;1;0,1;0,175;0,25;0,1;0,25;0,5;0,00302;0,00321;0,00336;0,31;0,53;0,72;935;1215;1880;120;274;700;;;;;;;;;;;;;;;;;
1839;1;6;6;1/6-6;1/6-E-JU   A;500;1;Result;Res;0;SHELL;1993;17.09.1996;FEDEGRABENEN;No;1;A;3D;11;1;;19920210;19930308;70;TRIASSIC;1.1.1 Upthrown traps;NJU-3;NO;UPPER JURASSIC;LINDESNES;UPPER JURASSIC;MANDAL FM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5087;;;5367;;;;;0;;;0;;;57;;;0;;;0;;;0,82;;;0,13;;;;;;;;;;;;;;;;;NO;NO;NO;YES;OK;;;FAIL;;;;FAIL;;;;Risk of no retention was underestimated.;Risk of no retention was underestimated..
