fldName,fldRecoverableOil,fldRecoverableGas,fldRecoverableNGL,fldRecoverableCondensate,fldRecoverableOE,fldRemainingOil,fldRemainingGas,fldRemainingNGL,fldRemainingCondensate,fldRemainingOE,fldDateOffResEstDisplay,fldNpdidField,DatesyncNPD
ALBUSKJELL,7.35,15.53,0.99,0.00,24.76,0.00,0.00,0.00,0.00,0.00,31.12.2021,43437,16.03.2022
ALVE,2.58,10.47,1.60,0.00,16.09,0.41,2.55,0.35,0.00,3.63,31.12.2021,4444332,16.03.2022
ALVHEIM,59.62,15.52,0.00,0.00,75.14,12.37,8.40,0.00,0.00,20.77,31.12.2021,2845712,16.03.2022
ATLA,0.41,1.48,0.00,0.00,1.89,0.00,0.00,0.00,0.00,0.00,31.12.2021,21106284,16.03.2022
BALDER,106.94,3.20,0.00,0.00,110.14,34.04,1.25,0.00,0.00,35.29,31.12.2021,43562,16.03.2022
BAUGE,5.63,1.11,0.58,0.00,7.84,5.63,1.11,0.58,0.00,7.84,31.12.2021,29446221,16.03.2022
BLANE,0.89,0.00,0.00,0.00,0.89,0.07,0.00,0.00,0.00,0.07,31.12.2021,3437650,16.03.2022
BRAGE,62.43,4.47,1.48,0.00,69.71,2.26,0.33,0.09,0.00,2.76,31.12.2021,43651,16.03.2022
BREIDABLIKK,30.46,0.00,0.00,0.00,30.46,30.46,0.00,0.00,0.00,30.46,31.12.2021,38702206,16.03.2022
BRYNHILD,0.49,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,31.12.2021,21123063,16.03.2022
BYRDING,1.01,0.81,0.08,0.00,1.97,0.17,0.37,0.04,0.00,0.62,31.12.2021,28975067,16.03.2022
BØYLA,2.55,0.26,0.00,0.00,2.81,0.36,0.04,0.00,0.00,0.40,31.12.2021,22492497,16.03.2022
COD,2.88,7.28,0.52,0.00,11.15,0.00,0.00,0.00,0.00,0.00,31.12.2021,43785,16.03.2022
DRAUGEN,151.92,2.98,2.86,0.00,160.33,8.26,1.31,0.21,0.00,9.97,31.12.2021,43758,16.03.2022
DUVA,3.61,6.35,0.78,0.00,11.44,3.10,6.28,0.77,0.00,10.84,31.12.2021,34833026,16.03.2022
DVALIN,0.42,17.95,0.23,0.00,18.81,0.42,17.94,0.23,0.00,18.80,31.12.2021,29393934,16.03.2022
EDDA,4.82,1.98,0.21,0.00,7.20,0.00,0.00,0.00,0.00,0.00,31.12.2021,43541,16.03.2022
EDVARD GRIEG,52.76,4.99,1.42,0.00,60.45,22.43,2.20,0.64,0.00,25.85,31.12.2021,21675433,16.03.2022
EKOFISK,536.01,152.87,15.79,0.00,718.88,43.05,3.76,0.87,0.00,48.46,31.12.2021,43506,16.03.2022
ELDFISK,138.61,44.04,5.04,0.00,192.23,16.79,1.95,0.45,0.00,19.60,31.12.2021,43527,16.03.2022
EMBLA,12.35,5.49,0.64,0.00,19.06,0.44,0.41,0.05,0.00,0.95,31.12.2021,43534,16.03.2022
ENOCH,0.39,0.00,0.00,0.00,0.39,0.03,0.00,0.00,0.00,0.03,31.12.2021,3437659,16.03.2022
FENJA,6.85,2.13,0.36,0.00,9.66,6.85,2.13,0.36,0.00,9.66,31.12.2021,31164879,16.03.2022
